"October 06, 2018 at 01:31PM","October 06, 2018 at 01:41PM",642
"October 06, 2018 at 03:09PM","October 06, 2018 at 03:17PM",504
"October 06, 2018 at 08:04PM","October 06, 2018 at 08:12PM",476
"October 06, 2018 at 09:39PM","October 06, 2018 at 09:50PM",641
"October 06, 2018 at 11:17PM","October 06, 2018 at 11:24PM",432
"October 07, 2018 at 12:39PM","October 07, 2018 at 12:49PM",623
"October 07, 2018 at 02:16PM","October 07, 2018 at 02:26PM",574
"October 07, 2018 at 03:57PM","October 07, 2018 at 04:00PM",217
"October 07, 2018 at 07:12PM","October 07, 2018 at 07:19PM",372
"October 07, 2018 at 08:48PM","October 07, 2018 at 08:58PM",622
"October 07, 2018 at 10:24PM","October 07, 2018 at 10:34PM",557
"October 08, 2018 at 11:48AM","October 08, 2018 at 11:57AM",566
"October 08, 2018 at 01:24PM","October 08, 2018 at 01:34PM",620
"October 08, 2018 at 03:03PM","October 08, 2018 at 03:09PM",363
"October 08, 2018 at 06:21PM","October 08, 2018 at 06:25PM",231
"October 08, 2018 at 07:56PM","October 08, 2018 at 08:06PM",578
"October 08, 2018 at 09:32PM","October 08, 2018 at 09:43PM",619
"October 09, 2018 at 10:57AM","October 09, 2018 at 11:04AM",448
"October 09, 2018 at 12:31PM","October 09, 2018 at 12:42PM",641
"October 09, 2018 at 02:10PM","October 09, 2018 at 02:18PM",469
"October 09, 2018 at 07:04PM","October 09, 2018 at 07:13PM",510
"October 09, 2018 at 08:40PM","October 09, 2018 at 08:51PM",641
"October 09, 2018 at 10:19PM","October 09, 2018 at 10:24PM",349
"October 10, 2018 at 11:40AM","October 10, 2018 at 11:50AM",635
"October 10, 2018 at 01:17PM","October 10, 2018 at 01:26PM",549
"October 10, 2018 at 02:58PM","October 10, 2018 at 03:01PM",131
"October 10, 2018 at 06:13PM","October 10, 2018 at 06:20PM",417
"October 10, 2018 at 07:48PM","October 10, 2018 at 07:59PM",633
"October 10, 2018 at 09:25PM","October 10, 2018 at 09:34PM",518
"October 11, 2018 at 10:48AM","October 11, 2018 at 10:58AM",594
"October 11, 2018 at 12:24PM","October 11, 2018 at 12:35PM",605
"October 11, 2018 at 02:04PM","October 11, 2018 at 02:10PM",312
"October 11, 2018 at 05:22PM","October 11, 2018 at 05:27PM",293
"October 11, 2018 at 06:57PM","October 11, 2018 at 07:07PM",599
"October 11, 2018 at 08:33PM","October 11, 2018 at 08:43PM",601
"October 12, 2018 at 09:57AM","October 12, 2018 at 10:06AM",504
"October 12, 2018 at 11:32AM","October 12, 2018 at 11:43AM",636
"October 12, 2018 at 01:11PM","October 12, 2018 at 01:18PM",431
